Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,latitude,longitude
2906715,"May 11, 2024",Kentucky,Louisville,282 Evangeline Ave,2,2,0,0,0,N/A,38.1600989,-85.7640812
2907355,"May 11, 2024",Alabama,Stockton,9400 block of Bryants Landing Rd,3,15,0,0,3,N/A,31.0373786,-87.862165
2904816,"May 8, 2024",North Carolina,Durham,311 S Lasalle St,1,3,0,0,2,N/A,36.0135874,-78.9478949
2904508,"May 8, 2024",Texas,San Antonio,6708 Windsor Hollow Dr,1,4,0,0,0,N/A,29.5034155,-98.3636186
2902327,"May 6, 2024",Indiana,Fort Wayne,Hanna St and E Rudisill Blvd,0,4,0,0,0,N/A,41.0500851,-85.1277329
2900406,"May 5, 2024",Alabama,Birmingham,800 3rd Ave W,1,6,0,0,2,N/A,33.505573,-86.8496039
2900481,"May 5, 2024",Alabama,Tuscaloosa,1300 block of 58th St E,1,3,0,0,1,N/A,33.1543361,-87.5195608
2901278,"May 5, 2024",Alabama,Huntsville,708 Poplar Ave NW,0,5,0,0,1,N/A,34.7404107,-86.6052443
2902726,"May 5, 2024",New Mexico,Gallup,1500 block of S 2nd St,2,2,0,0,0,N/A,35.5160157,-108.7397381
2899844,"May 4, 2024",New York,Corona (Queens),108-11 Atlantic Avenue,1,3,0,0,0,N/A,40.6917455,-73.9047655
2900308,"May 4, 2024",California,Long Beach,2688 E South St,0,7,0,0,0,N/A,33.8598716,-118.1606784
2900165,"May 4, 2024",New York,Buffalo,1490 Jefferson Ave,1,5,0,0,0,N/A,42.91611,-78.8544688
2899989,"May 4, 2024",Tennessee,Memphis,3562 Kirby Pkwy,1,3,0,0,0,N/A,35.051398,-89.8433988
2900213,"May 4, 2024",Pennsylvania,Philadelphia,1007 S 51st St,1,3,0,0,0,N/A,39.9445536,-75.2213014
2899834,"May 3, 2024",New York,Westbury,Pepperidge Rd and Eastfield Rd,0,6,0,0,0,N/A,40.7707709,-73.5660372
2931805,"May 3, 2024",Texas,Houston,6800 block of Cullen Blvd,0,4,0,0,6,N/A,29.6894005,-95.3538167
2899180,"May 2, 2024",Virginia,Richmond,3800 Delmont St,1,3,0,0,0,N/A,37.5839112,-77.4293632
2898126,"May 1, 2024",Michigan,Detroit,Faust Ave and Westfield Ave,0,4,0,0,1,N/A,42.3631449,-83.2203747
2896893,"May 1, 2024",Texas,Fort Worth,3096 Las Vegas Trl,0,6,0,0,5,N/A,32.7300865,-97.4668752
2893900,"April 29, 2024",North Carolina,Charlotte,5525 Galway Dr,4,3,1,0,0,N/A,35.2440749,-80.7556237
2895203,"April 29, 2024",Florida,Miami Gardens,1400 NW 197th St,0,5,0,0,0,N/A,25.9545617,-80.2251357
2892877,"April 28, 2024",Florida,Sanford,4380 Carraway Pl,0,10,0,0,1,N/A,28.8347357,-81.3291546
2893298,"April 28, 2024",Georgia,Fitzgerald,300 block of E Pine St,1,3,0,0,1,N/A,31.7136264,-83.2515818
2892937,"April 28, 2024",Arizona,Tucson,3200 block of E 5th St,1,3,0,0,4,N/A,32.2284339,-110.9246841
2892952,"April 28, 2024",Louisiana,Kenner,700 block of Farm Ave,0,5,1,0,0,N/A,29.9806226,-90.2661758
2893705,"April 28, 2024",Mississippi,Utica,1022 Lee Davis Cir,1,3,0,1,3,N/A,32.1133041,-90.6055012
2892069,"April 27, 2024",Florida,Daytona Beach,600 block of N Grandview Ave,0,4,0,0,1,N/A,29.2352299,-81.0134933
2892374,"April 27, 2024",South Carolina,Santee,800 block of Antioch Rd,1,3,0,0,3,N/A,33.474342,-80.5201313
2892008,"April 26, 2024",District of Columbia,Washington,1219 Connecticut Ave NW,0,6,0,0,1,N/A,38.9065167,-77.041177
